year,global_avg_temp,columbus_avg_temp,Global 7 yr MA,Columbus 7 yr MA
1909,8.18,14.04,8.177142857,13.75714286
1910,8.22,13.54,8.177142857,13.77571429
1911,8.18,14.97,8.19,14.03285714
1912,8.17,13.3,8.181428571,14.01142857
1913,8.3,14.41,8.17,14.07
1914,8.59,13.79,8.261428571,14.07571429
1915,8.59,13.92,8.318571429,13.99571429
1916,8.23,14.06,8.325714286,13.99857143
1917,8.02,12.72,8.297142857,13.88142857
1918,8.13,14.1,8.29,13.75714286
1919,8.38,14.57,8.32,13.93857143
1920,8.36,13.5,8.328571429,13.80857143
1921,8.57,15.52,8.325714286,14.05571429
1922,8.41,14.93,8.3,14.2
1923,8.42,14.14,8.327142857,14.21142857
1924,8.51,13.08,8.397142857,14.26285714
1925,8.53,14.53,8.454285714,14.32428571
1926,8.73,13.54,8.504285714,14.17714286
1927,8.52,14.86,8.527142857,14.37142857
1928,8.63,13.66,8.535714286,14.10571429
1929,8.24,13.83,8.511428571,13.94857143
1930,8.63,14.35,8.541428571,13.97857143
1931,8.72,15.1,8.571428571,14.26714286
1932,8.71,14.68,8.597142857,14.28857143
1933,8.34,15.12,8.541428571,14.51428571
1934,8.63,14.36,8.557142857,14.44285714
1935,8.52,14.23,8.541428571,14.52428571
1936,8.55,14.38,8.585714286,14.60285714
1937,8.7,14.06,8.595714286,14.56142857
1938,8.86,15.05,8.615714286,14.55428571
1939,8.76,14.82,8.622857143,14.57428571
1940,8.76,13.22,8.682857143,14.30285714
1941,8.77,14.6,8.702857143,14.33714286
1942,8.73,14.06,8.732857143,14.31285714
1943,8.76,14.08,8.762857143,14.27
1944,8.85,14.46,8.784285714,14.32714286
1945,8.58,14.32,8.744285714,14.22285714
1946,8.68,14.97,8.732857143,14.24428571
1947,8.8,13.94,8.738571429,14.34714286
1948,8.75,14.47,8.735714286,14.32857143
1949,8.59,15.12,8.715714286,14.48
1950,8.37,14.09,8.66,14.48142857
1951,8.63,14.41,8.628571429,14.47428571
1952,8.64,14.74,8.637142857,14.53428571
1953,8.87,14.98,8.664285714,14.53571429
1954,8.56,14.96,8.63,14.68142857
1955,8.63,14.63,8.612857143,14.70428571
1956,8.28,14.63,8.568571429,14.63428571
1957,8.73,14.82,8.62,14.73857143
1958,8.77,13.34,8.64,14.58571429
1959,8.73,14.71,8.652857143,14.58142857
1960,8.58,13.63,8.611428571,14.38857143
1961,8.8,13.92,8.645714286,14.24
1962,8.75,14.11,8.662857143,14.16571429
1963,8.86,13.44,8.745714286,13.99571429
1964,8.41,14.28,8.7,13.91857143
1965,8.53,14.4,8.665714286,14.07
1966,8.6,13.64,8.647142857,13.91714286
1967,8.7,13.82,8.664285714,13.94428571
1968,8.52,13.61,8.624285714,13.9
1969,8.6,13.59,8.602857143,13.82571429
1970,8.7,14.29,8.58,13.94714286
1971,8.6,14.38,8.607142857,13.96142857
1972,8.5,14.17,8.602857143,13.92857143
1973,8.95,14.84,8.652857143,14.1
1974,8.47,14.53,8.62,14.20142857
1975,8.74,14.62,8.651428571,14.34571429
1976,8.35,13.37,8.615714286,14.31428571
1977,8.85,14.19,8.637142857,14.3
1978,8.69,13.59,8.65,14.18714286
1979,8.73,13.64,8.682857143,14.11142857
1980,8.98,14.05,8.687142857,13.99857143
1981,9.17,13.8,8.787142857,13.89428571
1982,8.64,14.5,8.772857143,13.87714286
